order_id,customer_id,order_date,product_id,quantity,discount_rate,revenue,region,source
064e2a71-5a3f-41cc-ac46-3237f7ea5fd2,Customer_4444,2023-12-07,Product_511,68,0.07,228.53,Asia,synthetic_ecommerce
299579f2-ac47-4fdf-a3dd-0ce2baa9ee24,Customer_3421,2023-12-07,Product_458,189,0.17,818.41,North America,synthetic_ecommerce
47aff5f3-fe37-41cf-b6fa-ca33c28e7d4e,Customer_7535,2023-12-07,Product_223,166,0.28,62.48,Europe,synthetic_ecommerce
4adba19a-eb29-40c7-ab45-75c15398a9bf,Customer_19533,2023-12-07,Product_91,108,0.07,672.63,Europe,synthetic_ecommerce
654f8173-3682-427d-bd0a-0f05e15291de,Customer_10038,2023-12-07,Product_810,200,0.15,704.55,Europe,synthetic_ecommerce
7362d81b-079b-4858-8153-cf5f92c5ec40,Customer_15721,2023-12-07,Product_524,54,0.04,86.71,Asia,synthetic_ecommerce
757e1db2-206c-4e08-8e93-9258968ac770,Customer_6012,2023-12-07,Product_971,81,0.28,34.02,North America,synthetic_ecommerce
7b74c1af-b5f7-4439-b33a-aa6fa9e8c84d,Customer_13018,2023-12-07,Product_193,137,0.08,1543.13,Europe,synthetic_ecommerce
853c94b8-976c-4fb6-a5c7-b8545439143e,Customer_5375,2023-12-07,Product_700,90,0.17,891.15,North America,synthetic_ecommerce
9ff403ff-5272-46be-95a0-70c94601fd74,Customer_11796,2023-12-07,Product_215,201,0.22,113.82,Europe,synthetic_ecommerce
a46c6ef7-9948-471f-97b2-9d7fda360f2d,Customer_10077,2023-12-07,Product_857,224,0.17,323.27,North America,synthetic_ecommerce
aa62f548-992a-45fa-bbcc-0b2d1f26764c,Customer_15483,2023-12-07,Product_125,128,0.24,1399.4,North America,synthetic_ecommerce
bc62282e-7dba-4b6b-8caf-d2698bbe9f0a,Customer_1270,2023-12-07,Product_452,95,0.01,477.42,Europe,synthetic_ecommerce
f973299f-804a-4f22-936f-9b38d637e563,Customer_7272,2023-12-07,Product_154,180,0.04,774.85,North America,synthetic_ecommerce
0d5c6813-a9a3-4d74-9b7b-5de07f2a034c,Customer_11804,2023-12-08,Product_706,166,0.18,418.67,Asia,synthetic_ecommerce
54495ef1-09c4-44b3-a608-9409800e4152,Customer_3517,2023-12-08,Product_226,67,0.11,135.39,Asia,synthetic_ecommerce
60fa86ca-8cfb-4a02-b84c-b84777bf2ffa,Customer_14934,2023-12-08,Product_468,197,0.25,850.92,North America,synthetic_ecommerce
63fc93c6-f83f-4194-8bde-1264461b6bcc,Customer_1539,2023-12-08,Product_845,195,0.06,90.66,North America,synthetic_ecommerce
7b6d8bfa-9d86-480f-928a-b4c5f867306e,Customer_3850,2023-12-08,Product_537,137,0.1,936.79,Asia,synthetic_ecommerce
920fd7e9-e2c2-43b4-b85d-bb95c5f67160,Customer_14682,2023-12-08,Product_648,166,0.14,559.52,Europe,synthetic_ecommerce
a9ec6644-596b-48e3-9f73-5aa8f6ac5003,Customer_18796,2023-12-08,Product_664,73,0.13,339.46,Europe,synthetic_ecommerce
b02d689c-419d-4e9a-8dea-c7ec66bca9de,Customer_6793,2023-12-08,Product_125,72,0.04,1767.67,Europe,synthetic_ecommerce
c2ed88ac-3c34-476e-9844-e01b965a063a,Customer_1155,2023-12-08,Product_622,218,0.03,880.22,North America,synthetic_ecommerce
e4daa39b-7a73-41c4-8798-8eb39404404f,Customer_17173,2023-12-08,Product_702,109,0.26,796.67,Europe,synthetic_ecommerce
f5902960-30a7-4c54-bdc6-91b97caa8274,Customer_6081,2023-12-08,Product_230,91,0.27,338.25,Asia,synthetic_ecommerce
f903ebf6-d084-4c9c-ae74-68be2389c86f,Customer_19944,2023-12-08,Product_448,149,0.05,1362.07,North America,synthetic_ecommerce
0b139fe7-9862-40f8-8131-8ceea1b27949,Customer_17324,2023-12-09,Product_933,178,0.28,214.15,North America,synthetic_ecommerce
0c18308f-2e1f-4d2c-9f58-ee3d85444525,Customer_15535,2023-12-09,Product_561,64,0.05,1762.55,Asia,synthetic_ecommerce
0f60bcf2-0da4-42d6-b2d4-47ac02c5dc0b,Customer_4484,2023-12-09,Product_958,200,0.16,447.52,Europe,synthetic_ecommerce
19abbe83-c3b4-42e9-9288-54c6c4e9c5aa,Customer_3087,2023-12-09,Product_668,56,0.16,407.94,Asia,synthetic_ecommerce
480ec336-a5e4-4509-8a54-27b50fbdfe79,Customer_4582,2023-12-09,Product_848,90,0.06,136.33,Asia,synthetic_ecommerce
505e499a-8c84-4ece-92e3-7cc68debb1d5,Customer_10394,2023-12-09,Product_408,167,0.06,1306.79,Europe,synthetic_ecommerce
50fca07b-a80e-4e89-ab0e-ffd0e3fefbb5,Customer_16238,2023-12-09,Product_748,209,0.07,999.29,North America,synthetic_ecommerce
52cc1cc3-a265-4b14-b964-77034519a976,Customer_10769,2023-12-09,Product_346,92,0.27,429.31,North America,synthetic_ecommerce
65464605-6ef7-4dbe-9004-feee0934cf49,Customer_3935,2023-12-09,Product_411,178,0.16,1648.79,Europe,synthetic_ecommerce
68636b75-8be1-4577-b13e-043fbfb33660,Customer_4756,2023-12-09,Product_828,58,0.29,1039.46,Europe,synthetic_ecommerce
84ba0b61-e91b-441f-9107-71a9466d1c78,Customer_9522,2023-12-09,Product_175,63,0.27,305.54,Europe,synthetic_ecommerce
95a8c78c-1be4-412b-838d-68e3412766e3,Customer_5136,2023-12-09,Product_267,197,0.14,525.06,North America,synthetic_ecommerce
97cd5aba-ab80-428b-9d4f-40674374369f,Customer_14848,2023-12-09,Product_915,165,0.01,1197.24,Asia,synthetic_ecommerce
9f8f9cc2-fe54-4343-b23a-9975f5c7f545,Customer_12656,2023-12-09,Product_219,151,0.15,1061.62,Asia,synthetic_ecommerce
b34e087c-e2ea-49a0-af09-fe9d71fb1bd1,Customer_7691,2023-12-09,Product_330,158,0.0,334.33,North America,synthetic_ecommerce
c4b47be4-7913-432f-9466-2134cbd7890a,Customer_15492,2023-12-09,Product_24,122,0.13,399.36,North America,synthetic_ecommerce
d9e24947-e54b-41e6-b431-640e387f5308,Customer_981,2023-12-09,Product_994,90,0.19,217.36,Asia,synthetic_ecommerce
db2e07b6-3391-4b2d-8a94-732d6fc63373,Customer_3393,2023-12-09,Product_1000,83,0.06,430.71,Europe,synthetic_ecommerce
e0292391-5aee-4392-b8df-a205272a4102,Customer_16383,2023-12-09,Product_111,128,0.03,808.42,Asia,synthetic_ecommerce
15190128-af35-4e0f-b040-92fec56af793,Customer_10020,2023-12-10,Product_928,120,0.27,96.1,North America,synthetic_ecommerce
1c7d9bc1-a642-4873-93b8-008bb070c7e0,Customer_12242,2023-12-10,Product_769,153,0.17,91.48,Europe,synthetic_ecommerce
33ad318d-27a9-4c93-b87a-fcaae8788d40,Customer_9473,2023-12-10,Product_744,113,0.2,282.83,Asia,synthetic_ecommerce
7b09670e-ddcd-4b9d-a276-57cc654ce162,Customer_16350,2023-12-10,Product_158,131,0.24,340.22,Asia,synthetic_ecommerce
92dc6269-8299-43a7-b71a-b3151d1b7a94,Customer_8626,2023-12-10,Product_410,165,0.02,275.6,Europe,synthetic_ecommerce
a7a01f17-5243-4eab-be1e-f4f236c54078,Customer_18471,2023-12-10,Product_733,126,0.1,323.48,Asia,synthetic_ecommerce
ac3bdef6-68fe-41ed-a391-86c426fda2ba,Customer_14282,2023-12-10,Product_357,82,0.12,75.98,Asia,synthetic_ecommerce
b65aa573-0b23-477d-95a5-98118a50a39c,Customer_18245,2023-12-10,Product_766,199,0.01,170.99,North America,synthetic_ecommerce
c6d1943e-352d-4067-a41e-9f5bc9529af2,Customer_17858,2023-12-10,Product_79,183,0.11,1542.3,Asia,synthetic_ecommerce
d184e932-5ee8-41a3-819e-40e77d5a24f2,Customer_7983,2023-12-10,Product_987,207,0.23,175.07,North America,synthetic_ecommerce
